interest,31
laugh,31
blue,31
watch,31
tea,31
beauty,30
offer,30
along,30
natural,30
observed,30
months,30
breakfast,30
real,30
broke,30
times,30
gallery,30
dared,30
somewhat,30
broken,30
narrow,30
others,30
shook,30
forehead,30
burns,30
dinner,30
became,30
cheek,30
wall,30
understand,30
tired,29
rich,29
stranger,29
governess,29
means,29
flesh,29
lifted,29
terms,29
foot,29
clean,29
else,29
millcote,29
dear,29
effort,29
show,29
countenance,29
forward,29
plain,29
week,29
gutenberg,29
try,29
carriage,29
below,29
hold,28
saying,28
dare,28
beautiful,28
upstairs,28
bell,28
garden,28
led,28
kitchen,28
ma'am,28
proceeded,28
delight,28
mama,28
feared,28
task,28
curtain,28
free,28
dent,28
showed,27
steps,27
ground,27
sophie,27
marriage,27
books,27
sister,27
nursery,27
electronic,27
o'clock,27
eliza,27
husband,27
green,27
grew,27
whatever,27
smiled,27
thank,27
language,27
nearly,27
miles,27
offered,27
eshton,27
hearth,27
promise,27
to-morrow,26
consider,26
inquired,26
thin,26
meantime,26
frame,26
notice,26
passing,26
thinking,26
pounds,26
heaven,26
tried,26
third,26
pure,26
affection,26
absolutely,26
liberty,26
happened,26
afterwards,26
stand,26
eat,26
circumstances,25
company,25
society,25
wet,25
passion,25
drawn,25
ill,25
year,25
horse,25
met,25
weeks,25
wait,25
tale,25
pain,25
town,25
walls,25
cut,25
account,25
reached,25
pupil,25
settled,25
removed,25
picture,25
says,25
figure,25
considered,25
seems,25
moor,25
parlour,25
bonnet,25
leah,25
bitter,24
demanded,24
desire,24
sad,24
knee,24
expression,24
standing,24
friend,24
discovered,24
oliver,24
moved,24
reason,24
draw,24
poole,24
instantly,24
party,24
library,24
broad,24
likely,24
seem,24
dim,24
thousand,24
drawing-room,24
twenty,24
eight,24
resolved,24
morton,24
hate,24
earth,24
taste,24
known,24
attention,24
english,24
abbot,24
caught,23
wide,23
spoken,23
act,23
foundation,23
information,23
fresh,23
gathered,23
kiss,23
listened,23
shone,23
daughter,23
touch,23
early,23
grey,23
lit,23
pretty,23
cloud,23
able,23
turning,23
mistress,23
dog,23
shoulder,23
gates,23
comfort,23
charm,23
talking,23
prepared,23
fetch,23
finished,23
position,23
pride,23
spread,23
teachers,23
lonely,23
uncle,23
except,23
solitude,23
fancy,23
six,23
miller,22
object,22
believed,22
cloak,22
stone,22
gazed,22
expressed,22
opinion,22
marked,22
paused,22
birds,22
blind,22
distant,22
immediately,22
necessary,22
yours,22
died,22
marble,22
waiting,22
shape,22
fixed,22
path,22
london,22
burnt,22
advanced,22
c,22
amidst,22
leaving,22
looks,22
wrong,21
bring,21
pause,21
veil,21
red,21
worse,21
forced,21
aunt,21
staircase,21
truly,21
fully,21
warm,21
generally,21
making,21
especially,21
whispered,21
running,21
general,21
field,21
fall,21
contrary,21
excited,21
gaze,21
repeated,21
solemn,21
class,21
coach,21
pilot,21
women,21
pleased,21
happiness,21
getting,21
fingers,20
stern,20
hot,20
fit,20
service,20
doors,20
country,20
uttered,20
minute,20
winter,20
breath,20
formed,20
burning,20
sank,20
experience,20
learn,20
play,20
